index	origin	start	end
1	Chr1	10000	121535434
CEN1	Chr1	121535435	124535433
2	Chr1	124535434	249240621
3	Chr2	10000	92326171
CEN2	Chr2	92326172	95326170
4	Chr2	95326171	243189373
5	Chr3	10000	90504854
CEN3	Chr3	90504855	93504853
6	Chr3	93504854	198012430
7	Chr4	10000	49660117
CEN4	Chr4	49660118	52660116
8	Chr4	52660117	53929204
9	Chr4	53929205	55723744
10	Chr4	55723745	189349737
11	Chr4	189349738	191144276
12	Chr5	10000	46405641
CEN5	Chr5	46405642	49405640
13	Chr5	49405641	92754513
14	Chr5	92754514	97080937
15	Chr5	97080938	176578837
16	Chr5	176578838	180905260
17	Chr6	10000	864233
18	Chr6	864234	55614646
19	Chr6	55614647	56468880
20	Chr6	56468881	58830166
CEN6	Chr6	58830167	61830165
21	Chr6	61830166	171105067
22	Chr7	10000	1485635
23	Chr7	1485636	42287927
24	Chr7	42287928	43763563
25	Chr7	43763564	58054331
CEN7	Chr7	58054332	61054330
26	Chr7	61054331	159128663
27	Chr8	10000	4442771
28	Chr8	4442772	11682194
29	Chr8	11682195	16114966
30	Chr8	16114967	43838887
CEN8	Chr8	43838888	46838886
31	Chr8	46838887	117553820
32	Chr8	117553821	121682166
33	Chr8	121682167	142225677
34	Chr8	142225678	146354022
35	Chr9	10000	47367679
CEN9	Chr9	47367680	50367678
36	Chr9	50367679	141203431
37	Chr10	10000	1082782
38	Chr10	1082783	27112381
39	Chr10	27112382	28185164
40	Chr10	28185165	39254935
CEN10	Chr10	39254936	42254934
41	Chr10	42254935	135524747
42	Chr11	10000	1590353
43	Chr11	1590354	18291036
44	Chr11	18291037	19871390
45	Chr11	19871391	51644205
CEN11	Chr11	51644206	54644204
46	Chr11	54644205	134996516
47	Chr12	10000	34856694
CEN12	Chr12	34856695	37856693
48	Chr12	37856694	133841895
49	Chr13	16000000	16000000
CEN13	Chr13	16000001	18999999
50	Chr13	19000000	115159878
51	Chr14	16000000	16000000
CEN14	Chr14	16000001	18999999
52	Chr14	19000000	107339540
53	Chr15	17000000	17000000
CEN15	Chr15	17000001	19999999
54	Chr15	20000000	102521392
55	Chr16	10000	35335801
CEN16	Chr16	35335802	38335800
56	Chr16	38335801	90344753
57	Chr17	10000	22263006
CEN17	Chr17	22263007	25263005
58	Chr17	25263006	81185210
59	Chr18	10000	3944006
60	Chr18	3944007	5564268
61	Chr18	5564269	9498275
62	Chr18	9498276	15460898
CEN18	Chr18	15460899	18460897
63	Chr18	18460898	78067248
64	Chr19	10000	24681782
CEN19	Chr19	24681783	27681781
65	Chr19	27681782	59118983
66	Chr20	10000	26369569
CEN20	Chr20	26369570	29369568
67	Chr20	29369569	63015520
68	Chr21	5211193	11288129
CEN21	Chr21	11288130	14288128
69	Chr21	14288129	48119895
70	Chr22	13000000	13000000
CEN22	Chr22	13000001	15999999
71	Chr22	16000000	51294566
72	ChrX	10000	58632012
